,Reference Genom,Node Name,prediction method,mse,rmse
0,archea1.4g_8nodes,222,Univariatn Spline smoothing approximation 1 with degree  1 ,2565.0609716582494,50.646430986380956
1,archea1.4g_8nodes,222,Univariatn Spline smoothing approximation 1 with degree  2 ,895.0108545056243,29.916732015807213
2,archea1.4g_8nodes,222,Univariatn Spline smoothing approximation 1 with degree  3 ,753.4509284878643,27.449060612120487
3,archea1.4g_8nodes,222,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6916981112172158,0.831683901020824
4,archea1.4g_8nodes,222,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6915781143993259,0.8316117570112426
5,archea1.4g_8nodes,222,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6914611504297495,0.8315414303747887
0,archea1.4g_8nodes,222,Generell Spline approximation smoothing s1 with degree  1 ,0.6916981112172158,0.831683901020824
1,archea1.4g_8nodes,222,Generell Spline approximation smoothing s1 with degree  2 ,0.6913859127369012,0.8314961892497771
2,archea1.4g_8nodes,222,Generell Spline approximation smoothing s1 with degree  3 ,0.6908998373056262,0.8312038482259488
3,archea1.4g_8nodes,222,Generell Spline approximation smoothing s2 with degree  1 ,2565.0609716582494,50.646430986380956
4,archea1.4g_8nodes,222,Generell Spline approximation smoothing s2 with degree  2 ,895.0108545056243,29.916732015807213
5,archea1.4g_8nodes,222,Generell Spline approximation smoothing s2 with degree  3 ,753.4509284878643,27.449060612120487
0,archea1.4g_8nodes,225,Polynominal  1,6712.305703582376,81.92866228361339
1,archea1.4g_8nodes,225,Polynominal  2,6635.689082419196,81.45973902744346
2,archea1.4g_8nodes,225,Polynominal  3,5397.99099003792,73.4710214304791
3,archea1.4g_8nodes,225,Polynominal_curve  1,6712.305703582376,81.92866228361339
4,archea1.4g_8nodes,225,Polynominal_curve  2,6635.689082419196,81.45973902744346
5,archea1.4g_8nodes,225,Polynominal_curve  3,5397.99099003792,73.4710214304791
0,archea1.4g_8nodes,225,Log_Polynominal  1,1.9789468540041841,2.2845631095318617
1,archea1.4g_8nodes,225,Log_Polynominal  2,1.7979320534028689,2.150977553027841
2,archea1.4g_8nodes,225,Log_Polynominal  3,1.795253303407823,2.1488835925405834
3,archea1.4g_8nodes,225,Log_curve  1,inf,8.766645260042391e+74
4,archea1.4g_8nodes,225,Log_curve  2,inf,3.340506727407127e+96
5,archea1.4g_8nodes,225,Log_curve  3,inf,1.281363138522852e+102
0,archea1.4g_8nodes,225,Smoothing Spline,2875.4863458982436,53.623561480922206
0,archea1.4g_8nodes,225,Univariatn Spline smoothing approximation 1 with degree  1 ,6712.305703582373,81.92866228361338
1,archea1.4g_8nodes,225,Univariatn Spline smoothing approximation 1 with degree  2 ,6635.689082419195,81.45973902744346
2,archea1.4g_8nodes,225,Univariatn Spline smoothing approximation 1 with degree  3 ,5397.990990037922,73.47102143047911
3,archea1.4g_8nodes,225,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6755889687180381,0.821942193051335
4,archea1.4g_8nodes,225,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6755178568361513,0.8218989334681919
