Node Name	Data Size	Total-time	CPU-time	max-rss	I/O In (read MB)	I/O out (write MB)	mem_mb	disk_mb
242	13.0	20.2553	14.54	267.0	0.0	27.14	1000.0	1000.0
246	11.0	5.3626	3.81	276.55	0.0	24.31	1000.0	1000.0
213	12.0	5.6103	3.75	254.63	0.0	25.48	1000.0	1000.0
222	8.3	6.8829	5.41	210.23	0.0	18.24	1000.0	1000.0
247	20.0	10.457	8.81	497.27	0.0	83.36	1000.0	1000.0
246	19.0	8.3161	6.44	459.21	0.0	76.77	1000.0	1000.0
225	20.0	20.7086	14.17	404.27	0.0	42.61	1000.0	1000.0
248	18.0	7.8607	6.2	432.51	0.0	38.09	1000.0	1000.0
239	20.0	8.981	7.04	479.42	0.0	42.45	1000.0	1000.0
241	19.0	25.7616	14.4	391.85	0.0	41.21	1000.0	1000.0
213	19.0	15.4904	13.18	463.82	4.11	100.47	1000.0	1000.0
244	18.0	14.15	11.89	431.88	3.77	38.16	1000.0	1000.0
224	21.0	24.065	15.06	438.78	0.0	46.37	1000.0	1000.0
242	18.0	8.3483	6.37	450.03	0.0	39.71	1000.0	1000.0
223	23.0	18.4143	12.49	470.34	0.0	49.95	1000.0	1000.0
217	21.0	15.7282	14.07	457.39	0.0	84.36	1000.0	1000.0
226	20.0	16.244	14.05	493.89	0.07	43.94	1000.0	1000.0
221	21.0	17.3468	12.81	436.0	4.24	45.8	1000.0	1000.0
240	23.0	9.4173	7.75	558.24	0.0	49.78	1000.0	1000.0
228	22.0	17.1105	13.48	453.29	0.0	47.35	1000.0	1000.0
225	20.0	16.6443	14.05	439.57	0.0	44.32	1000.0	1000.0
225	20.0	25.6231	14.79	412.54	0.0	43.51	1000.0	1000.0
241	20.0	16.3032	14.06	444.62	0.0	43.66	1000.0	1000.0
240	22.0	16.1277	12.47	523.75	0.0	46.7	1000.0	1000.0
228	20.0	26.9569	14.6	414.75	0.0	43.75	1000.0	1000.0
222	19.0	8.2196	6.32	462.71	0.0	40.86	1000.0	1000.0
224	4.8	3.4547	1.42	105.32	0.0	10.55	1000.0	1000.0
216	28.0	15.0877	13.01	682.66	0.0	115.71	1000.0	1000.0
240	27.0	30.1966	14.77	549.89	0.0	58.8	1000.0	1000.0
246	25.0	25.5995	14.29	501.49	0.0	53.42	1000.0	1000.0
247	25.0	10.4395	8.84	611.96	0.0	54.74	1000.0	1000.0
216	26.0	11.0042	9.38	643.33	0.0	57.66	1000.0	1000.0
213	27.0	33.5628	14.64	557.18	0.0	59.61	1000.0	1000.0
216	30.0	28.1839	14.41	605.28	0.0	64.94	1000.0	1000.0
247	30.0	11.6795	9.79	724.67	0.0	65.21	1000.0	1000.0
213	28.0	10.4421	8.92	680.68	0.0	115.47	1000.0	1000.0
222	30.0	11.9122	10.36	730.16	0.0	124.17	1000.0	1000.0
248	31.0	16.7525	13.99	663.71	0.0	67.36	1000.0	1000.0
213	27.0	11.1848	9.32	650.96	0.0	58.34	1000.0	1000.0
226	32.0	24.9346	14.02	654.71	0.0	70.43	1000.0	1000.0
241	27.0	21.1154	14.08	544.94	0.0	58.25	1000.0	1000.0
244	17.0	7.6434	5.82	383.5	0.0	36.91	1000.0	1000.0
225	39.0	16.0505	14.03	950.68	0.0	84.83	1000.0	1000.0
242	38.0	47.7188	14.59	788.17	0.0	83.64	1000.0	1000.0
